public,id,is_event_location,is_facility,is_shop,is_exhibit,name,organization,department,description,area_id,lat,lng,indoor_x,indoor_y,img_name
TRUE,LC-001,TRUE,TRUE,TRUE,TRUE,本部,海王祭実行委員会,,本部,,35.66742024,139.7911257,,,
TRUE,LC-002,FALSE,TRUE,TRUE,TRUE,海王祭実行委員会ブース,海王祭実行委員会,,test1,,35.66738266,139.7910868,,,
TRUE,LC-003,FALSE,TRUE,TRUE,TRUE,ベビーカー置き場,海王祭実行委員会,,test2,,35.66733145,139.7910231,,,
TRUE,LC-004,FALSE,FALSE,TRUE,TRUE,日本海洋塾,日本海洋塾,,test3,,35.66777495,139.7907017,,,
TRUE,LC-005,FALSE,FALSE,TRUE,TRUE,日本海事代理士会,日本海事代理士会,,test4,,35.66775017,139.7906598,,,
TRUE,LC-006,FALSE,FALSE,TRUE,TRUE,ナカシマプロペラ株式会社,ナカシマプロペラ株式会社,,test5,,35.66771901,139.7906058,,,
TRUE,LC-007,FALSE,FALSE,TRUE,TRUE,今治造船株式会社,今治造船株式会社,,test6,,35.66767935,139.7905465,,,
FALSE,LC-008,FALSE,FALSE,TRUE,TRUE,海洋会,海洋会,,test7,,,,,,
FALSE,LC-009,FALSE,FALSE,TRUE,TRUE,株式会社日本海事新聞社,株式会社日本海事新聞社,,test8,,,,,,
FALSE,LC-010,FALSE,FALSE,TRUE,FALSE,総合創作誌発行企画,総合創作誌発行企画,,,,,,,,
FALSE,LC-011,FALSE,FALSE,TRUE,FALSE,食飯とダンス公演,ダンス部EXSEAD,,屋外ステージでダンス公演を行います！各ジャンルの発表に加え、さまざまな有志も見どころです   ぜひご覧ください！また、模擬店ブースではたこ焼きの販売も行います！,,,,,,
FALSE,LC-012,FALSE,FALSE,TRUE,FALSE,,軽音楽部,,,,,,,,
FALSE,LC-013,FALSE,FALSE,TRUE,FALSE,串だんご,東洋海洋大学合気道部,,合気道部は屋外テントにてお団子を販売しています！お好きな生地のお団子とお好きな餡・たれを選んで、ぜひおいしい串団子を片手に海王祭をお楽しみください！！ ,,,,,,
FALSE,LC-014,FALSE,FALSE,TRUE,FALSE,ホットドッグ、フランクフルト,越中島硬式テニス部,,パリッとジューシーなフランクフルトとそれをバンズでサンドして熱々に仕上げたホットドッグです！,,,,,,
FALSE,LC-015,FALSE,FALSE,TRUE,FALSE,チョコバナナ ,男子バレーボール部,,,,,,,,
FALSE,LC-016,FALSE,FALSE,TRUE,FALSE,山名物！！ポテトフライ,山岳部,,カリッカリに揚がってます！,,,,,,
FALSE,LC-017,FALSE,FALSE,TRUE,FALSE,チュロス,バスケットボール部,,外はサクサク，中はもちっと。 海を感じる特別なチュロスにしました！,,,,,,
FALSE,LC-018,FALSE,FALSE,TRUE,FALSE,本格パエリア ,木曜会 ,,スペインの味を500円で楽しめる！海の幸や鶏肉の旨味が、お米一粒一粒に閉じ込められた贅沢パエリア♪ ,,,,,,
FALSE,LC-019,FALSE,FALSE,TRUE,FALSE,揚げアイス,ネットボール部,,ネットボール部にかける思いのようにひんやりアイスをサクッと揚げます！ ぜひご賞味あれ！,,,,,,
FALSE,LC-020,FALSE,FALSE,TRUE,FALSE,特性スタミナ油そば,東京海洋大学・水泳部,,いつもは大会等があり、参加を見送ることが多かった我々水泳部ですが、今回の海王祭りでは満を持して出店させていただきます。水泳部が一丸となって作った油そば食べてみたくなりませんか！？,,,,,,
FALSE,LC-021,FALSE,FALSE,TRUE,FALSE,輸血パックドリンク,お嬢様部&ピューロランド部,,お嬢様部とピューロランド部のコラボ！ワクワク満点の輸血パックドリンク！ ,,,,,,
FALSE,LC-022,FALSE,FALSE,TRUE,FALSE,空手部のお好み焼き ,空手道部,,広島出身の部員監修によるお好み焼きです！こだわった一品をぜひ。,,,,,,
FALSE,LC-023,FALSE,FALSE,TRUE,FALSE,最適解ワッフル,芝浦祭実行委員会,,,,,,,,
FALSE,LC-024,FALSE,FALSE,TRUE,FALSE,カニレース,ネクトンカフェ,,,,,,,,
FALSE,LC-025,FALSE,FALSE,TRUE,FALSE,魚介ラーメン,あさり会,,品川キャンパスから来ました、あさり会です。品川キャンパスらしく魚介料理を提供します。品川キャンパス自治委員会委員長推奨のおいしい料理をぜひご賞味ください。,,,,,,
FALSE,LC-026,FALSE,FALSE,TRUE,FALSE,門仲晃一,門仲晃一,,クリームチーズが入ったライスコロッケ！！チキンライスとカレーピラフの２種類あります！！門仲晃一定番、特製唐揚げもご用意！！,,,,,,
FALSE,LC-027,FALSE,FALSE,TRUE,FALSE,,剣道部,,,,,,,,
FALSE,LC-028,FALSE,FALSE,TRUE,FALSE,,カヌー部,,,,,,,,
FALSE,LC-029,FALSE,FALSE,TRUE,FALSE,海鮮焼そば ,東京海洋大学ヨット部,,,,,,,,
FALSE,LC-030,FALSE,FALSE,TRUE,FALSE,焼きグソクムシ販売・アンサンブル他 ,東京海洋大学・共立薬科大学管弦楽団,,オーケストラ部です！テントにて焼きグソクムシ、焼き鳥、ラムネの販売、ス ーパーボールすくい、教室にてアンサンブルおよびグッズ販売をいたしま す！ぜひお越しください！,,,,,,
FALSE,LC-031,FALSE,FALSE,TRUE,FALSE,生協学生委員会海王祭模擬店 ,東京海洋大学越中島生協学生委員会,,生協学生委員会では、海洋大グッズ、瓶飲料の販売と水風船釣りを行います！ぜひ一度覗いてみてください！！,,,,,,
FALSE,LC-032,FALSE,FALSE,TRUE,FALSE,,海事普及会,,,,,,,,
FALSE,LC-033,FALSE,FALSE,TRUE,FALSE,出張うみがめ研究会,うみがめ研究会,,,,,,,,
FALSE,LC-034,FALSE,FALSE,TRUE,TRUE,,防衛省自衛隊,,,,,,,,
FALSE,LC-035,TRUE,,,,ステージ,,,,AR-01,,,,,
,LC-036,TRUE,,,,講堂,,,,AR-07,,,,,
,LC-037,TRUE,,,,講堂,,,,AR-07,,,,,
,LC-038,TRUE,,,,講堂,,,,AR-07,,,,,
,LC-039,TRUE,,,,講堂,,,,AR-07,,,,,
,LC-040,TRUE,,,,講堂,,,,AR-07,,,,,
,LC-041,TRUE,,,,講堂,,,,AR-07,,,,,
,LC-042,TRUE,,,,講堂,,,,AR-07,,,,,
,LC-043,TRUE,,,,講堂,,,,AR-07,,,,,
,LC-044,TRUE,,,,講堂,,,,AR-07,,,,,
,LC-045,TRUE,,,,講堂,,,,AR-07,,,,,
